sample_id,dice_id,pip_index_in_dice,pip_value,dice_deg,pip_x_mm,pip_y_mm
1,1,1,5,309.1,-10.271,-7.397
1,1,2,5,309.1,-7.821,-5.741
1,1,3,5,309.1,-7.993,-7.681
1,1,4,5,309.1,-8.407,-9.802
1,1,5,5,309.1,-5.767,-7.816
1,2,1,1,133.4,12.154,8.851
1,3,1,6,28.6,-3.628,0.147
1,3,2,6,28.6,-4.371,1.446
1,3,3,6,28.6,-4.896,2.82
1,3,4,6,28.6,-0.866,1.362
1,3,5,6,28.6,-1.744,2.924
1,3,6,6,28.6,-2.394,4.214
2,1,1,1,320.2,-14.062,1.759
2,2,1,5,176.3,-4.077,13.523
2,2,2,5,176.3,-4.334,10.584
2,2,3,5,176.3,-5.696,12.318
2,2,4,5,176.3,-7.004,13.815
2,2,5,5,176.3,-7.315,10.979
2,3,1,6,130.6,12.592,-11.823
2,3,2,6,130.6,11.251,-12.744
2,3,3,6,130.6,10.106,-14.0
2,3,4,6,130.6,10.674,-9.625
2,3,5,6,130.6,9.343,-10.597
2,3,6,6,130.6,8.357,-11.421
3,1,1,3,4.9,-10.951,-0.692
3,1,2,3,4.9,-9.635,1.06
3,1,3,3,4.9,-8.441,2.523
3,2,1,5,38.2,-3.824,11.978
3,2,2,5,38.2,-5.868,14.45
3,2,3,5,38.2,-3.537,14.245
3,2,4,5,38.2,-1.506,13.954
3,2,5,5,38.2,-3.241,16.355
3,3,1,1,162.9,12.62,1.005
4,1,1,5,334.3,10.06,-3.662
4,1,2,5,334.3,11.337,-1.011
4,1,3,5,334.3,12.042,-3.103
4,1,4,5,334.3,12.582,-4.968
4,1,5,5,334.3,14.105,-2.164
4,2,1,5,340.8,-2.312,4.291
4,2,2,5,340.8,-1.408,7.199
4,2,3,5,340.8,-0.455,5.373
4,2,4,5,340.8,0.623,3.581
4,2,5,5,340.8,1.477,6.346
4,3,1,5,318.2,-9.179,-8.078
4,3,2,5,318.2,-7.485,-5.81
4,3,3,5,318.2,-7.104,-8.013
4,3,4,5,318.2,-7.338,-10.055
4,3,5,5,318.2,-5.17,-7.674
5,1,1,4,266.2,-6.895,-13.046
5,1,2,4,266.2,-3.74,-13.164
5,1,3,4,266.2,-6.868,-15.724
5,1,4,4,266.2,-4.037,-16.278
5,2,1,3,303.5,4.606,-13.093
5,2,2,3,303.5,6.768,-13.456
5,2,3,3,303.5,8.993,-14.016
5,3,1,5,82.7,9.814,-0.791
5,3,2,5,82.7,6.951,-0.505
5,3,3,5,82.7,8.631,0.803
5,3,4,5,82.7,10.223,2.155
5,3,5,5,82.7,7.125,2.455
6,1,1,3,229.6,13.875,6.776
6,1,2,3,229.6,14.062,4.888
6,1,3,3,229.6,14.255,2.78
6,2,1,1,159.7,1.541,-11.501
6,3,1,5,188.6,-0.6,16.439
6,3,2,5,188.6,-0.056,13.403
6,3,3,5,188.6,-1.958,14.735
6,3,4,5,188.6,-3.676,16.024
6,3,5,5,188.6,-3.187,12.929
7,1,1,4,117.2,1.021,7.008
7,1,2,4,117.2,-1.747,5.679
7,1,3,4,117.2,-0.241,9.761
7,1,4,4,117.2,-2.986,8.389
7,2,1,6,181.2,-9.267,10.729
7,2,2,6,181.2,-9.548,9.229
